52529765,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168328,qualitative,,6089271,,,In Vivo (Animal models),,,,PT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529766,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168329,qualitative,,6089313,,,In Vivo (Animal models),,,,PT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529767,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168330,qualitative,,6089226,,,In Vivo (Animal models),,,,PT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529768,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168331,qualitative,,6089209,,,In Vivo (Animal models),,,,PT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529769,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168332,qualitative,,6089259,,,In Vivo (Animal models),,,,PT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529770,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168333,qualitative,,6089263,,,In Vivo (Animal models),,,,Rankin score; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529771,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168334,qualitative,,6089316,,,In Vivo (Animal models),,,,Rankin score; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529772,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168335,qualitative,,6089298,,,In Vivo (Animal models),,,,Rankin score; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529773,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168336,qualitative,,6089317,,,In Vivo (Animal models),,,,Rankin score; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529774,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168337,qualitative,,6089304,,,In Vivo (Animal models),,,,Rankin score; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529775,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168338,qualitative,,6089238,,,In Vivo (Animal models),,,,Rankin score; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529776,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168339,qualitative,,6089264,,,In Vivo (Animal models),,,,SGOT-AST; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529777,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168340,qualitative,,6089244,,,In Vivo (Animal models),,,,SGOT-AST; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529778,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168341,qualitative,,6089198,,,In Vivo (Animal models),,,,SGOT-AST; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529779,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168342,qualitative,,6089248,,,In Vivo (Animal models),,,,SGOT-AST; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529780,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168343,qualitative,,6089215,,,In Vivo (Animal models),,,,SGOT-AST; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529781,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168344,qualitative,,6089277,,,In Vivo (Animal models),,,,SGOT-AST; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529782,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168345,qualitative,,6089192,,,In Vivo (Animal models),,,,SGPT-ALT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529783,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168346,qualitative,,6089227,,,In Vivo (Animal models),,,,SGPT-ALT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529784,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168347,qualitative,,6089270,,,In Vivo (Animal models),,,,SGPT-ALT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529785,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168348,qualitative,,6089267,,,In Vivo (Animal models),,,,SGPT-ALT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529786,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168349,qualitative,,6089253,,,In Vivo (Animal models),,,,SGPT-ALT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529787,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168350,qualitative,,6089240,,,In Vivo (Animal models),,,,SGPT-ALT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529788,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168351,qualitative,,6089302,,,In Vivo (Animal models),,,,blood cell count; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529789,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168352,qualitative,,6089309,,,In Vivo (Animal models),,,,blood cell count; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529790,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168353,qualitative,,6089287,,,In Vivo (Animal models),,,,blood cell count; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529791,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168354,qualitative,,6089284,,,In Vivo (Animal models),,,,blood cell count; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529792,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168355,qualitative,,6089195,,,In Vivo (Animal models),,,,blood cell count; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529793,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168356,qualitative,,6089276,,,In Vivo (Animal models),,,,blood cell count; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529794,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168357,qualitative,,6089305,,,In Vivo (Animal models),,,,creatinine level; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529795,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168358,qualitative,,6089202,,,In Vivo (Animal models),,,,creatinine level; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529796,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168359,qualitative,,6089315,,,In Vivo (Animal models),,,,creatinine level; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529797,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168360,qualitative,,6089245,,,In Vivo (Animal models),,,,creatinine level; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529798,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168361,qualitative,,6089243,,,In Vivo (Animal models),,,,creatinine level; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529799,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168362,qualitative,,6089246,,,In Vivo (Animal models),,,,creatinine level; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529800,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168363,qualitative,,6089225,,,In Vivo (Animal models),,,,fibrinogene level; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529801,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168364,qualitative,,6089208,,,In Vivo (Animal models),,,,fibrinogene level; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529802,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168365,qualitative,,6089194,,,In Vivo (Animal models),,,,fibrinogene level; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529803,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168366,qualitative,,6089213,,,In Vivo (Animal models),,,,fibrinogene level; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529804,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168367,qualitative,,6089206,,,In Vivo (Animal models),,,,fibrinogene level; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529805,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168368,qualitative,,6089266,,,In Vivo (Animal models),,,,fibrinogene level; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529806,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168369,qualitative,,6089292,,,In Vivo (Animal models),,,,glycemia; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529807,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168370,qualitative,,6089241,,,In Vivo (Animal models),,,,glycemia; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529808,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168371,qualitative,,6089220,,,In Vivo (Animal models),,,,glycemia; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529809,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168372,qualitative,,6089214,,,In Vivo (Animal models),,,,glycemia; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529810,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168373,qualitative,,6089299,,,In Vivo (Animal models),,,,glycemia; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529811,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168374,qualitative,,6089295,,,In Vivo (Animal models),,,,glycemia; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529812,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168375,qualitative,,6089280,,,In Vivo (Animal models),,,,APTT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529813,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168376,qualitative,,6089275,,,In Vivo (Animal models),,,,APTT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529814,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168377,qualitative,,6089228,,,In Vivo (Animal models),,,,APTT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529815,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168378,qualitative,,6089301,,,In Vivo (Animal models),,,,CRP-C-reactive protein; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529816,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168379,qualitative,,6089232,,,In Vivo (Animal models),,,,CRP-C-reactive protein; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529817,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168380,qualitative,,6089291,,,In Vivo (Animal models),,,,CRP-C-reactive protein; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529818,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168381,qualitative,,6089254,,,In Vivo (Animal models),,,,D-dimer level; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529819,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168382,qualitative,,6089221,,,In Vivo (Animal models),,,,D-dimer level; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529820,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168383,qualitative,,6089311,,,In Vivo (Animal models),,,,D-dimer level; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529821,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168384,qualitative,,6089233,,,In Vivo (Animal models),,,,NIHSS; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529822,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168385,qualitative,,6089237,,,In Vivo (Animal models),,,,NIHSS; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529823,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168386,qualitative,,6089203,,,In Vivo (Animal models),,,,NIHSS; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529824,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168387,qualitative,,6089258,,,In Vivo (Animal models),,,,PT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529825,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168388,qualitative,,6089252,,,In Vivo (Animal models),,,,PT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529826,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168389,qualitative,,6089247,,,In Vivo (Animal models),,,,PT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529827,,459971,21435100,,18528957,,,,,,,,,7168428,IC50,,6089318,,Inhibitory activity,In Vitro (Efficacy),,,Inhibitor,Inhibitory concentration of the compound against ligand-induced phosphorylation of Y551of Bruton's tyrosine kinase (BTK) from human in Ramos cells upon incubation for 1 hour,,1806776,Ramos cell line,,,,human,3844654,,Tyrosine-protein kinase BTK [human],human,Wild,Tyrosine-protein kinase BTK [human]:Wild,Tyrosine-protein kinase BTK [human]:Wild,Tyrosine-protein kinase BTK [human],,,human,,,,=,10,,µM,5,result normalized in M; pAur = -log(value),,,,2018/11/16,Tyrosine-protein kinase BTK [human],1,2020/03/17,
52529828,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168390,qualitative,,6089216,,,In Vivo (Animal models),,,,Rankin score; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529829,,459971,21435061,,18528898,,,,,,,,,7168428,IC50,,6089318,,Inhibitory activity,In Vitro (Efficacy),,,Inhibitor,Inhibitory concentration of the compound against ligand-induced phosphorylation of Y551of Bruton's tyrosine kinase (BTK) from human in Ramos cells upon incubation for 1 hour,,1806776,Ramos cell line,,,,human,3844654,,Tyrosine-protein kinase BTK [human],human,Wild,Tyrosine-protein kinase BTK [human]:Wild,Tyrosine-protein kinase BTK [human]:Wild,Tyrosine-protein kinase BTK [human],,,human,,,,=,10,,µM,5,result normalized in M; pAur = -log(value),,,,2018/11/16,Tyrosine-protein kinase BTK [human],1,2020/03/17,
52529830,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168391,qualitative,,6089218,,,In Vivo (Animal models),,,,Rankin score; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529831,,459971,21434979,,18528782,,,,,,,,,7168428,IC50,,6089318,,Inhibitory activity,In Vitro (Efficacy),,,Inhibitor,Inhibitory concentration of the compound against ligand-induced phosphorylation of Y551of Bruton's tyrosine kinase (BTK) from human in Ramos cells upon incubation for 1 hour,,1806776,Ramos cell line,,,,human,3844654,,Tyrosine-protein kinase BTK [human],human,Wild,Tyrosine-protein kinase BTK [human]:Wild,Tyrosine-protein kinase BTK [human]:Wild,Tyrosine-protein kinase BTK [human],,,human,,,,=,10,,µM,5,result normalized in M; pAur = -log(value),,,,2018/11/16,Tyrosine-protein kinase BTK [human],1,2020/03/17,
52529832,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168392,qualitative,,6089307,,,In Vivo (Animal models),,,,Rankin score; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529833,,459971,21435030,,18528856,,,,,,,,,7168428,IC50,,6089318,,Inhibitory activity,In Vitro (Efficacy),,,Inhibitor,Inhibitory concentration of the compound against ligand-induced phosphorylation of Y551of Bruton's tyrosine kinase (BTK) from human in Ramos cells upon incubation for 1 hour,,1806776,Ramos cell line,,,,human,3844654,,Tyrosine-protein kinase BTK [human],human,Wild,Tyrosine-protein kinase BTK [human]:Wild,Tyrosine-protein kinase BTK [human]:Wild,Tyrosine-protein kinase BTK [human],,,human,,,,=,10,,µM,5,result normalized in M; pAur = -log(value),,,,2018/11/16,Tyrosine-protein kinase BTK [human],1,2020/03/17,
52529834,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168393,qualitative,,6089303,,,In Vivo (Animal models),,,,SGOT-AST; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529835,,459971,21434967,,18528765,,,,,,,,,7168428,IC50,,6089318,,Inhibitory activity,In Vitro (Efficacy),,,Inhibitor,Inhibitory concentration of the compound against ligand-induced phosphorylation of Y551of Bruton's tyrosine kinase (BTK) from human in Ramos cells upon incubation for 1 hour,,1806776,Ramos cell line,,,,human,3844654,,Tyrosine-protein kinase BTK [human],human,Wild,Tyrosine-protein kinase BTK [human]:Wild,Tyrosine-protein kinase BTK [human]:Wild,Tyrosine-protein kinase BTK [human],,,human,,,,=,10,,µM,5,result normalized in M; pAur = -log(value),,,,2018/11/16,Tyrosine-protein kinase BTK [human],1,2020/03/17,
52529836,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168394,qualitative,,6089261,,,In Vivo (Animal models),,,,SGOT-AST; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529837,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168395,qualitative,,6089256,,,In Vivo (Animal models),,,,SGOT-AST; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529838,,459971,21435052,,18528887,,,,,,,,,7168428,IC50,,6089318,,Inhibitory activity,In Vitro (Efficacy),,,Inhibitor,Inhibitory concentration of the compound against ligand-induced phosphorylation of Y551of Bruton's tyrosine kinase (BTK) from human in Ramos cells upon incubation for 1 hour,,1806776,Ramos cell line,,,,human,3844654,,Tyrosine-protein kinase BTK [human],human,Wild,Tyrosine-protein kinase BTK [human]:Wild,Tyrosine-protein kinase BTK [human]:Wild,Tyrosine-protein kinase BTK [human],,,human,,,,=,10,,µM,5,result normalized in M; pAur = -log(value),,,,2018/11/16,Tyrosine-protein kinase BTK [human],1,2020/03/17,
52529839,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168396,qualitative,,6089293,,,In Vivo (Animal models),,,,SGPT-ALT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529840,,459971,21435029,,18528853,,,,,,,,,7168428,IC50,,6089318,,Inhibitory activity,In Vitro (Efficacy),,,Inhibitor,Inhibitory concentration of the compound against ligand-induced phosphorylation of Y551of Bruton's tyrosine kinase (BTK) from human in Ramos cells upon incubation for 1 hour,,1806776,Ramos cell line,,,,human,3844654,,Tyrosine-protein kinase BTK [human],human,Wild,Tyrosine-protein kinase BTK [human]:Wild,Tyrosine-protein kinase BTK [human]:Wild,Tyrosine-protein kinase BTK [human],,,human,,,,=,10,,µM,5,result normalized in M; pAur = -log(value),,,,2018/11/16,Tyrosine-protein kinase BTK [human],1,2020/03/17,
